Week,Role,Inventory,Incoming Shipping,Week,Role,Order Quantity,Demand,Excess Inventory,Backorder,Holding Cost,Backorder Cost,Total Cost,username,approach
0,Retailer,10,"[(5, 1)]",0,Retailer,,,,,,,0,User,Full Gen-AI
1,Retailer,10,"[(10, 2)]",1,Retailer,10.0,12.0,3.0,0.0,3.0,0.0,3,User,Full Gen-AI
2,Retailer,3,"[(1, 3)]",2,Retailer,1.0,13.0,0.0,0.0,0.0,0.0,3,User,Full Gen-AI
3,Retailer,0,"[(1, 4)]",3,Retailer,1.0,10.0,0.0,9.0,0.0,18.0,21,User,Full Gen-AI
4,Retailer,0,"[(1, 5)]",4,Retailer,1.0,14.0,0.0,13.0,0.0,26.0,47,User,Full Gen-AI
5,Retailer,0,"[(2, 6)]",5,Retailer,2.0,10.0,0.0,9.0,0.0,18.0,65,User,Full Gen-AI
6,Retailer,0,"[(1, 7)]",6,Retailer,1.0,14.0,0.0,12.0,0.0,24.0,89,User,Full Gen-AI
7,Retailer,0,"[(2, 8)]",7,Retailer,2.0,11.0,0.0,10.0,0.0,20.0,109,User,Full Gen-AI
8,Retailer,0,"[(1, 9)]",8,Retailer,1.0,11.0,0.0,9.0,0.0,18.0,127,User,Full Gen-AI
9,Retailer,0,"[(3, 10)]",9,Retailer,3.0,9.0,0.0,8.0,0.0,16.0,143,User,Full Gen-AI
10,Retailer,0,"[(0, 11)]",10,Retailer,0.0,14.0,0.0,11.0,0.0,22.0,165,User,Full Gen-AI
